name,name_hindi,category,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,potassium_mg,source
Vanjaram,,IFCT2017,100,213.8,2.0,1.33,22.28,5.18,,,IFCT2017_Complete_OCR
Vora,,IFCT2017,100,327.7,76.94,2.14,1.26,,,,IFCT2017_Complete_OCR
Whale shark,,IFCT2017,100,327.0,77.59,0.82,1.48,,,,IFCT2017_Complete_OCR
Xiphinis,,IFCT2017,100,330.8,79.22,0.88,1.15,,,,IFCT2017_Complete_OCR
Eggs Cat fish,,IFCT2017,100,312.6,69.34,5.28,1.57,,,,IFCT2017_Complete_OCR
Crab sea,,IFCT2017,100,329.4,79.67,0.6,0.92,,,,IFCT2017_Complete_OCR
Lobster brown,,IFCT2017,100,339.8,81.48,0.56,1.29,,,,IFCT2017_Complete_OCR
Lobster king size,,IFCT2017,100,632.8,77.77,78.0,1.08,,,,IFCT2017_Complete_OCR
Mud crab,,IFCT2017,100,358.0,83.1,0.55,2.6,,,,IFCT2017_Complete_OCR
Tiger prawns brown,,IFCT2017,100,340.3,82.41,0.56,0.94,,,,IFCT2017_Complete_OCR
Tiger Prawns orange,,IFCT2017,100,336.4,81.48,0.74,0.83,,,,IFCT2017_Complete_OCR
Clam green shell,,IFCT2017,100,346.2,80.07,0.98,2.44,,,,IFCT2017_Complete_OCR
Clam white shell ribbed,,IFCT2017,100,334.1,80.27,1.34,0.85,,,,IFCT2017_Complete_OCR
Squid black,,IFCT2017,100,335.6,80.59,1.07,0.99,,,,IFCT2017_Complete_OCR
